观世音满月面珠开妙相,0,观世音满月面珠开妙相，
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,6794657.833763212,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,6797952.6691470128,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,6802209.8834074708,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,6858454.0946814157,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,6906867.9285557382,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,6922949.6972956909,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,6941154.2391252378,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,7012187.1060496178,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,7023318.1264093993,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,7025379.9850895116,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,7032023.7049165415,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,7037835.0127770174,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7093006.7645234894,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,7100750.4287179532,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,7185538.4169335673,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,7224893.0976684848,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,7245501.8611769285,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,7253291.9998574611,0.0
