孀居愁苦泪洗面,2,孀居愁苦泪洗面，
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,6963481.9860530766,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,6977836.1752547603,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,7015514.4315929692,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,7034357.5426846016,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,7037147.0499273147,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,7140194.0362336636,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7182350.7725047152,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,7195909.8076174632,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,7212130.3299333388,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,7225240.4290213855,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,7249577.4385872334,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,7254701.6308754291,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,7291736.1218524911,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,7298536.1764460616,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,7298816.2286335425,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,7318229.9158503702,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,7347230.4482236309,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7360936.5896517867,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,7406250.038996879,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,7408629.156669423,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,7462790.8002880597,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7484925.4017938124,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,7494518.0444107503,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,7516481.0696332064,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,7517368.3058920354,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,7519836.1142478166,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,7530435.7439500876,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,7557025.2672071308,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,7583076.4714614917,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,7591408.615002051,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,7621045.3098583315,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,7640564.2804151317,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7641054.5404601302,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7650589.7830326464,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,7658078.5430671573,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,7690431.5176092461,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,7690770.7944352161,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,7744686.2526006317,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,7752385.9027433461,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,7766541.7809490273,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,7780728.5319142584,0.0
