隔帘只见一花轿,0,在隔帘只见这一花轿，
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,8569407.3280735053,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,8600615.3248691,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,8720759.4609773252,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,8728830.2244536281,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,8736607.5667351764,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,8740131.9243047666,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,8764199.894030517,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,8764919.1595821027,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,8772174.4790558461,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,8782804.9633765593,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,8785206.5934579857,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,8805349.8157021496,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,8817159.4320132043,0.2857142857142857
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,8836234.9508837163,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,8839601.059477713,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8872818.0884429365,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,8876435.1458019894,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,8876439.0989956483,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,8896733.1492345743,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,8937102.1037633643,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,9026044.7773038186,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,9026862.7041917332,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,9062296.1696608178,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,9070334.9769891649,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,9075377.8276958764,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,9130837.9600535966,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,9162274.2768455539,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,9197416.7841616087,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,9240121.2826894727,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,9256211.7925498951,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,9331532.4312710986,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,9387494.4260869231,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,9397010.032468468,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,9423552.4261383601,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9429273.3575465977,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,9448391.4754949156,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,9467006.3779478818,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,9468108.9432296492,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,9483175.0409686752,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,9553720.1933287755,0.14285714285714285
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,9559353.633460978,0.0
