但愿得令公令婆别无异见,2,但愿得令公令婆别无异见，
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,8172570.5376607087,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,8188939.1093823332,0.09090909090909091
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,8190269.8553647343,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,8233428.5376156056,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,8244590.9489214467,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8246567.9935804401,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8272612.590303978,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,8278786.9770983756,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,8286877.0575607065,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8308893.8213144382,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,8330649.6419092761,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,8337793.2136731381,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,8347476.0083979666,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,8358492.6388567006,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8393010.5302492213,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,8454753.6613440849,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,8459183.0412207562,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,8461216.8748731837,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,8462621.24975596,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,8466714.3368818965,0.09090909090909091
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8474576.9125743136,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8492888.0041343234,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,8496462.4904597625,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,8503948.3115870859,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,8504278.3094601054,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,8504360.0249519367,0.09090909090909091
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8522767.9362684079,0.0
