也有饥寒悲怀抱,80,亦有饥寒悲怀抱，
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,4299890.59461236,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,4304316.4479558952,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,4310083.9401132669,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,4313332.0137023591,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,4336381.3662594901,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,4402503.9795912048,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,4404492.3653566176,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,4415063.016966355,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,4439276.7289467752,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,4443445.0303637041,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,4443794.5156451678,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,4507827.2296687588,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,4516966.9218530357,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,4523089.953236077,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,4536535.1616685838,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,4566712.2278470388,0.14285714285714285
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,4610409.3173074098,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,4615946.7571305614,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,4665663.6995099206,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,4684398.4010098679,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,4701148.5574636031,0.0
