叫张生隐藏在棋盘之下,13,叫张生隐藏在棋盘之下，
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,7285932.6002184516,0.1
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,7408779.2481249152,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,7445311.341073107,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,7458464.9477250921,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,7463546.0352578489,0.1
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,7483002.1958294455,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7497134.9382390548,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,7509848.7901036404,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,7523901.7925661206,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,7536604.0126826279,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,7548116.8474194994,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7557046.6374326209,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,7572178.0197337214,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,7602916.0908847731,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,7603077.1666959822,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,7610067.2503302246,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7613647.7532885456,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,7627348.7938349545,0.1
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,7637480.1025559977,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,7637699.1169834258,0.2
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7641718.1012107218,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,7645492.6474801423,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,7650884.7405282455,0.0
