敌血飞溅石榴裙,0,敌血飞溅石榴裙。
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,6600554.0046560159,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,6604859.257418083,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,6617496.6542830616,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,6617496.6542830616,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,6643799.7353442339,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,6680031.2665897226,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,6682818.1042503593,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,6692047.4616337577,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,6720892.9686358739,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,6761905.1999781812,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,6763840.9576361049,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,6799413.3978473349,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,6803246.9252535375,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6825046.8890540339,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6842022.1983309546,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,6897262.635305793,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,6906908.2249244004,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,6914521.3722994309,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,6965628.8535401495,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,6995099.9887928199,0.0
