听号令且莫要惊动了她,0,听号令且莫要惊动了她。
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7350166.8742590537,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,7380113.3408452235,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,7391692.4122357154,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,7464207.8020873871,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,7492679.6024211729,0.1
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,7513837.1839230601,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,7523451.9833349381,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,7523959.6076270416,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,7550137.7657984737,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,7562726.2977262745,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7585025.3907970022,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,7600942.6815759828,0.2
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,7613335.6520640701,0.2
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,7617265.8201735131,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,7617265.8201735131,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,7702234.4491333524,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,7707323.4705483373,0.1
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,7717942.9836983085,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7726909.4496168252,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,7733033.6515694568,0.1
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,7743459.7085482161,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,7758185.7335360022,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7761851.1100410791,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,7772119.8744223043,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,7785761.8541423744,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7797771.743143497,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,7824310.3756691376,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,7828460.4886346487,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,7835437.6661351845,0.1
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,7836597.1747280946,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,7857978.1401084429,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,7875689.3734576711,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,7883378.9774995307,0.1
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,7894315.2495851461,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7900633.9212144734,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,7911658.0157833593,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,7918141.7627069876,0.1
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,7931741.5726878447,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7935748.0757498778,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,7976695.4556393661,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,7978205.8779620901,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,8012054.5309307147,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,8016907.8228971185,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,8041327.3428584952,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,8041327.3428584952,0.1
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8124004.449303261,0.1
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,8138087.6721789967,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,8149714.583185643,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,8175058.0075597391,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,8192672.212753715,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,8203515.0936434483,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,8215500.7001254475,0.1
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8246783.648468907,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,8251710.2579274215,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,8261738.5051655248,0.1
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,8266084.8085556459,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,8268707.2955637202,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,8286160.0555882845,0.0
