不知道他与我是否一般,19,不知道他与我是否一般。
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,9148932.7715534493,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,9171039.5014639422,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,9172696.463444896,0.2
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,9181152.4863969572,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,9182994.47058722,0.1
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,9186834.8899859264,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,9209418.2831577305,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,9227238.9801337682,0.2
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,9273849.5454278626,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,9304093.1483253669,0.1
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,9316801.9477237817,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,9360848.4107461255,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,9366941.6012236066,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,9369748.6311573386,0.2
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,9375133.0922170039,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,9399369.2043216955,0.2
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,9425244.9343159553,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,9449185.7150836624,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,9457520.5084027965,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,9490139.7674063276,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,9502868.8765001409,0.1
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,9508036.7476669457,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,9512351.1413845625,0.1
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,9532344.8692969885,0.2
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,9534605.0040553976,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,9534801.8697473146,0.3
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,9535931.6955962274,0.1
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,9559279.0289163776,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,9575235.0617819056,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,9594713.9337053448,0.2
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,9598958.071498448,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,9608966.022395147,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9613302.1036627591,0.1
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,9632935.3027632013,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,9656933.3988360502,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,9690514.4310144447,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,9705887.7329584733,0.2
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,9714226.8965133149,0.1
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,9736249.8596649226,0.1
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,9736875.5041325521,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,9740748.8172233645,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,9741967.5947236251,0.1
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,9754149.6066668686,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,9763103.2821115814,0.1
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,9767389.1687716562,0.1
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,9782340.9037075229,0.2
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,9805718.284906704,0.2
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,9825266.6540616825,0.1
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,9834086.3508608025,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,9836543.6432892717,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,9839287.1175336521,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,9853454.6585746519,0.1
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,9861525.5558971837,0.2
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,9882849.240162598,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,9887291.5423933156,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,9892703.6940237582,0.2
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,9929164.6299994476,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,9932047.0137575585,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,9937318.9498711489,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,9937447.5846817568,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,9945111.0779649913,0.1
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,9994660.9946044069,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,10022638.133648818,0.2
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,10026147.273282297,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,10055857.05170189,0.2
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,10073010.954838566,0.2
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,10089339.943336457,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,10099879.444565672,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,10140076.874981264,0.1
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,10141473.938046638,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,10145477.93142858,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,10173493.630265011,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,10178479.436119638,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,10194866.291635273,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,10199905.266364515,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,10207149.574717715,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,10207648.559497504,0.2
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,10216260.461147783,0.1
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,10218495.684624739,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,10228887.042604314,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,10231390.984700788,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,10231390.984700788,0.1
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,10233171.892301541,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,10256922.268931448,0.1
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,10258450.433615858,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,10278073.906028112,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,10282158.777773444,0.1
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,10282612.36004778,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,10293122.579265445,0.1
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,10296411.131111642,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,10296767.188453553,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,10301479.651751913,0.1
