春秋亭外风雨暴,1,春秋亭外风雨暴，
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,5798867.8020852515,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,5809337.6005786899,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,5843328.713022463,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,5873245.1647708528,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,5901792.676571209,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,5905734.5355390506,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,5911698.6612193501,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,5919981.2826130707,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,5966198.8889722163,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,5968927.2317102123,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5987409.2335060546,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,5995934.94270611,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,6009257.0537677938,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6028531.4939428158,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,6028957.5167078609,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,6044710.2893558284,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,6049498.6938376958,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,6063398.6998755392,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,6069281.5586518683,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,6094047.6616540235,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,6104037.3305852981,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,6152976.9835367901,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,6195824.2171723135,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,6216482.5067516286,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,6217611.9827144789,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,6248937.5050959513,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,6250442.3096391615,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,6260572.1310819527,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,6275396.0482246364,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,6285119.212295034,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,6302812.1026595822,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,6305713.8842758704,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,6329455.194205137,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,6335683.0060204919,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,6336190.6599855609,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,6336190.6599855609,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,6338069.5311403256,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,6365464.9769839318,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6428960.9308703272,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,6442638.7777038142,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,6462007.0159270046,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,6498145.0201442773,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6527793.0294441702,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,6567086.9053522451,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6571085.6359251002,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,6571638.3807465583,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,6577410.3628040031,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,6579215.1556054736,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,6579215.1556054736,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,6581392.1763583617,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,6600451.766678595,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,6605291.156391806,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6622713.612876947,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,6638811.7899819789,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,6638910.9310908243,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,6656534.6740779132,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,6672838.4180416586,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,6674435.8864111956,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,6690612.9170728503,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,6690612.9170728503,0.0
