此时却又明白了,0,此时却又明白了，
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,6616421.4411932277,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,6642409.2067000354,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,6694015.3554412974,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,6699997.4558226699,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,6700338.6681986442,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,6701726.527518373,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,6705085.0978889419,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,6729154.6922153449,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,6730129.899092488,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,6751466.7710521081,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,6763499.9944420336,0.14285714285714285
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,6765283.450547236,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,6833104.4466292122,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,6841231.2023471482,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,6852481.3904156685,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,6869179.5778692197,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,6870335.1367444191,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,6900094.634196328,0.0
