这桩事闷得我柔肠百转,0,这桩事闷得我柔肠百转，
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,13174919.130560521,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,13180396.702553568,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,13204377.481337143,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,13212123.598919597,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,13226719.232090682,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,13296289.062538572,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,13334122.245689312,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,13340496.03968641,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,13357846.437978903,0.1
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,13401457.014654547,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,13413240.014716797,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,13416932.040337618,0.1
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,13492235.824570369,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,13495833.712707356,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,13512631.134066513,0.1
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,13513218.669665519,0.1
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,13513218.669665519,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,13526539.567619555,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,13534278.330963619,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,13572983.491706921,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,13582291.372456206,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,13594808.000635525,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,13606297.115864838,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,13619894.015825907,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,13622346.013489574,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,13626195.473676065,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,13627422.221857106,0.1
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,13637079.72734254,0.0
