绿柳枝洒甘露三千界上,1,绿柳枝酒甘露三千界上，
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,7135608.154526188,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,7147229.7182887774,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7170015.5545264706,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7175487.0350905778,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,7191788.0733146174,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,7194978.3094152045,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,7196862.5989463357,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,7223291.583931921,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,7232508.4863628326,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,7234002.6506471494,0.1
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,7265529.2515916573,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7274412.4394227201,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,7279291.0354562672,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7295112.4907458248,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,7295645.3220013101,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,7297819.816113322,0.1
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,7326310.7750750557,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,7348968.4241429558,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7356234.6557600768,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7380351.3071157504,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,7382190.1885450762,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,7388013.9227804439,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,7424196.4704546183,0.1
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,7476301.9360573124,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,7489520.4617210682,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,7495210.5869454108,0.1
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,7502289.4414226692,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,7553880.8832127778,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,7606569.7481506243,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,7608506.4307984728,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,7628190.5677724741,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,7736833.4041186534,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7740199.5413836828,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,7759671.6662445823,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,7769397.3184479317,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7800481.8850054257,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,7809075.335158065,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,7831566.2914845105,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,7862774.4895060007,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7897630.4177492186,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,7923649.898275719,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,7955419.243674472,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7961955.7865521135,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,7975376.4172944808,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7983799.6312557943,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7986822.9187228708,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,7997643.8650785387,0.0
