这才是今生难预料,0,这才是人生难预料，
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,10134553.45488652,0.125
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,10163767.241422946,0.125
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,10176556.201896483,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,10189475.153307335,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,10198385.78889209,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,10226303.05868067,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,10229358.898183679,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,10302147.587079389,0.125
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,10307696.00449702,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,10308658.604042124,0.125
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,10331033.341171708,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,10377257.3371526,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,10449814.414360445,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,10471495.618440116,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,10473615.362705862,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,10510063.039397318,0.125
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,10556755.96549269,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,10596562.103055228,0.125
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,10610954.197564444,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,10669108.614321947,0.125
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,10688060.536931641,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,10701695.741775619,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,10720114.089697197,0.125
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,10727590.146308398,0.125
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,10734669.826850118,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,10734669.826850118,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,10761180.133381933,0.125
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,10807365.572327193,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,10818176.462565159,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,10830758.177232515,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,10865815.723115245,0.125
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,10885807.627275284,0.125
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,10903832.906290725,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,10905022.919592645,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,10907020.949770497,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,10934177.904505922,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,10941107.661416801,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,10950950.80225547,0.125
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,10992221.80391844,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,10999489.515176116,0.125
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,11116746.907699585,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,11139270.937935522,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,11196242.650900727,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,11223934.481191378,0.125
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,11230679.930811482,0.0
