昔日梁鸿配孟光,19,昔日里梁鸿配孟光，
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,7170456.6653834488,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,7172691.2674262617,0.14285714285714285
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,7190785.643170407,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,7204474.1713135261,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7215567.4715140583,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,7232385.9685662612,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,7242085.7121787844,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,7249723.2939474564,0.14285714285714285
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,7329355.398927724,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,7352986.868456807,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,7377259.6003272496,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,7396269.8516778471,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,7418381.9112612121,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,7418508.2650190499,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,7425382.8972993717,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,7480485.9099034658,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7510442.879850355,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,7510465.3160288306,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,7523997.3619996738,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,7554043.9885082813,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,7555486.1601142976,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7585673.4516065419,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,7620116.8991693612,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,7620116.8991693612,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,7622661.8502967451,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,7661643.4632882336,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,7668887.7871757168,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,7673838.4817812275,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7679204.3365176283,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,7686127.8528625164,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,7689713.4014472039,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,7708375.3829396889,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,7716840.4521999964,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7722028.7196542546,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,7722300.6225040378,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7785022.4787931945,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7817160.6661711521,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,7867618.1172275702,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7870619.976808859,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,7901847.9283662401,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7913370.4252968207,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,7940581.2790413853,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,7971235.8184733875,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,7977808.3008337989,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,7979949.8814853318,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,8008347.1378623964,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,8025931.6008172501,0.14285714285714285
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,8027584.2244558409,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,8033801.5510145845,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,8055813.8270766474,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,8059365.3727211216,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,8074194.709674933,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8077679.6619455377,0.0
