原来是不耐烦已经睡困,0,原来是不耐烦已经睡困，
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,8455595.6181983668,0.1
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8463169.4039143398,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,8473775.7258144226,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,8492463.2862276305,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,8515211.3212692458,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,8529139.8238871433,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,8544046.2193200849,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,8563388.8432890046,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,8589860.7687110715,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,8602059.9640248213,0.1
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,8604045.8554783631,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,8639411.1609147601,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,8657232.6909882613,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,8676775.6653382666,0.2
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,8688922.2640594151,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,8709967.2527745869,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,8778634.3075580914,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,8801355.6913309749,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8828364.0806855224,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,8864352.318441255,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,8896715.4817973226,0.1
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,8967927.5496153068,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,8985355.5788640715,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,8989252.3095901925,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,9019812.4322058801,0.1
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,9069549.4458755609,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,9100108.9951232746,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,9104323.4407284595,0.1
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,9121739.8249861654,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,9132905.0151843708,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,9137214.7218324319,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,9150237.0320133623,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,9152854.4733404648,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,9153805.9998442046,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,9153838.16814938,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,9167933.1985306311,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,9168543.3164047655,0.1
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,9176502.2380466554,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,9189436.5403926242,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,9221454.7759934776,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,9223254.3167219181,0.2
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,9231888.4217268098,0.1
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,9258527.4320125058,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,9280674.7248656135,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,9292896.4052850883,0.2
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9323923.3045964837,0.1
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,9324476.7639359869,0.1
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,9347813.4195627049,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,9351173.5134342369,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,9356723.6759355236,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,9367188.2268969044,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,9379975.012790136,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,9380575.1113489922,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,9408363.3734959308,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9420608.8770349771,0.0
