但愿得状元郎月老引线,0,但愿得状元媒月老引线，
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,8478985.361303227,0.1
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,8533945.7781887483,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,8602075.0774208382,0.1
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,8641638.1674524732,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,8698002.0725046564,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8705416.6853733435,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,8723354.3716768213,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8744056.3727034591,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,8753772.9352824483,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8780677.5604481827,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,8792441.0670235157,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,8864053.9490965344,0.1
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,8887351.0417551976,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,8998592.3255068138,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,8998592.3255068138,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,8998789.5565758608,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,9015998.3369387947,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,9033426.3894064445,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,9057274.243342841,0.1
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,9081544.3461053632,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,9101523.8444756307,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,9115313.0850155391,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,9130424.9425881058,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,9158373.508290248,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,9183711.4016625248,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,9186211.7379150372,0.0
