宋天子主婚姻此事成全,0,宋天子主婚姻此事成全。
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7074322.0114913601,0.1
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,7101773.3251552312,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,7121170.1459243735,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,7122312.4076927658,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,7124719.9637979548,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,7148433.4635916119,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,7157631.7726604063,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,7159169.144883967,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7170240.0426544053,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,7179038.0506949611,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7202353.4507893855,0.1
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,7203920.2937559867,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,7231777.2541325931,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,7234907.1749507701,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,7243427.5432136394,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7258519.8145364895,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,7259592.0642432114,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,7272574.5228116838,0.1
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,7282245.1690431265,0.1
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,7288733.9901591977,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,7291507.9322016835,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7316633.3283141125,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,7323747.3038865188,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,7332603.3467486724,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,7340239.4845139692,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,7350581.7469904702,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,7356558.9141751202,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,7368389.7004734725,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,7376279.9857870415,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,7380998.6231489722,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,7383161.1823093286,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,7388501.0481223976,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,7419189.1506633135,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,7420963.6022451883,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,7449815.0510223461,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,7463797.2230206411,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,7466846.2031990401,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,7481893.7067089686,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7488187.5359132644,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,7534816.9919859925,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,7553786.6459950255,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,7567064.6297275918,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,7598581.1846019067,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,7650903.9442380993,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,7655271.2321977848,0.1
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,7670587.7720739953,0.1
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,7675450.2252647132,0.0
