有善才和龙女站立两厢,3,有善才和龙女站立两厢；
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,6569981.8407498403,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,6601496.9626932926,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,6602721.497071974,0.1
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,6667425.7509973012,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6677610.0655473238,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,6687038.7557361238,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,6724694.1777204294,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,6730177.4722646242,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,6736387.1932535768,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,6753592.7777568353,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,6777842.1907836134,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,6786081.4905216657,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,6810993.8853002284,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,6858941.5304400092,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6864647.3084526416,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,6912848.8638777863,0.1
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,6931498.2761783702,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6953838.1616673572,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,6989411.979607814,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,6994557.0460711699,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,6999459.6500377348,0.0
