猛听的金鼓响画角声震,0,猛听得金鼓响画角声震，
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,7227152.9089110103,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,7307269.6734583899,0.1
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,7368647.4063068945,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,7370266.3739601485,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,7392654.4819273623,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,7408996.0923017096,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,7426528.1342692338,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7427740.5429567276,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,7438282.8916437374,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,7451778.9252541969,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,7472111.777652232,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,7480415.2954942584,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7491242.9979493525,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,7516751.7751371684,0.2
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7523961.2564877477,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,7534817.9101448888,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,7557471.6244229218,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,7557471.6244229218,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7573609.0244641518,0.0
