何处悲声破寂寥,2,何处悲声破寂寥。
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,7819814.5945206964,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7841019.1765187047,0.14285714285714285
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,7865590.4230728308,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7917226.4656671928,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,7957324.3154029232,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,7985819.8554333346,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,7987416.6492499718,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,8008677.8933248678,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,8025129.7337887092,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,8025129.7337887092,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,8026050.6326315338,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,8037810.6759431493,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,8045283.559452788,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,8093525.221858006,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,8102878.1761460425,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,8108722.9197149025,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,8119296.4504528902,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,8124019.2514526779,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,8127910.4702582555,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,8136225.1370656248,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,8152123.8340142304,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,8155854.79498618,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,8165442.9637516635,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,8167324.6027031681,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,8186938.200537323,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,8194126.8763932046,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,8200629.3703508181,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,8223138.8325786116,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,8225689.0736530041,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,8239356.6466670949,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8240564.1426044898,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,8247361.1161017781,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,8260096.2608681452,0.14285714285714285
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,8299489.5302128103,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,8316078.3747637914,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,8323337.7182158278,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,8332064.4372525513,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,8365938.1135768155,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,8413048.6499787886,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,8428814.1584965475,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,8467439.9856491331,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,8527793.5061476454,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8534820.0726268012,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,8629608.8188804351,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8650552.5559339896,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,8660979.304287646,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,8669884.3804383408,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,8682503.7894004323,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,8731996.469871033,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,8772279.2086444832,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,8777703.4791299999,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8788686.0511708353,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8809380.5614384357,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,8818690.5445003342,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,8820756.6649300717,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,8823110.1311288532,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,8830379.4173009917,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,8861977.8005581461,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,8887278.6069396269,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,8918842.8341244906,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,8919509.2420714255,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,8948194.7887239084,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,8958761.9064460751,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,8980548.98638409,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,9061521.0180724896,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,9092102.4381865487,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,9109275.8167202119,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,9118571.0688991025,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,9150744.0788614154,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,9154105.8913233895,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,9157389.7086267862,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,9168600.0683463588,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,9173052.6214521825,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,9187615.8902932815,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,9188175.6588774454,0.14285714285714285
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,9234998.0489533041,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,9280904.9748565312,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,9281297.2204472311,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,9288495.5748484433,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,9295392.9406538289,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,9346586.3455966525,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,9353451.6873308346,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,9381099.8398191445,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,9384510.8069556672,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,9385520.461686844,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,9397591.390518615,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,9415380.495782828,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,9419346.4990909081,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,9433595.0049144551,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,9456225.1405850332,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,9459353.6756423358,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,9466898.3060322944,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,9505010.8154071569,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,9505199.1725230403,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9505286.7922751997,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,9514231.5124548916,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9542914.9527876936,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,9547971.0818536915,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,9555712.7562273312,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,9559164.5455947295,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,9580767.5952126142,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,9589410.7973354943,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,9600779.5569091178,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,9614086.0787147135,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9651585.9047399033,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,9678776.0487706736,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,9691897.7152990047,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,9709426.9477999862,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9724960.2034695409,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,9745019.5680658482,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,9767550.3699203152,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,9778860.7229679469,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,9787113.9279269055,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,9816221.4243721124,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,9822139.8068983722,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,9848095.5572161339,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,9857529.5169994663,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,9868464.3204182088,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,9877011.1928631049,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,9904025.6711250152,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,9911154.1881855931,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,9927115.543732889,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,9934709.4247041307,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,9945647.382830428,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,9979369.1726096962,0.14285714285714285
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,9979899.3941445742,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,9994854.3504229411,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,10004406.618419252,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,10005179.365471205,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,10011161.844834108,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,10089985.677236473,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,10106782.982248675,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,10131784.612310335,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,10136697.126959277,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,10144775.305839835,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,10173569.805275947,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,10199749.760286734,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,10205936.672377344,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,10211827.48047721,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,10214347.331855457,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,10241158.217779106,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,10265989.403498324,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,10281873.019356282,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,10282049.505115712,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,10320924.325567354,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,10327591.328204703,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,10349091.957453236,0.2857142857142857
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,10425121.343480939,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,10447823.880281435,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,10475433.137549689,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,10500964.774268949,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,10502845.86953692,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,10561427.447459022,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,10579331.977599539,0.14285714285714285
