满眼中清妙境灵光万丈,0,满眼中清妙景灵光万丈，
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,8141969.3332784995,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,8147695.8193589281,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,8151736.4544895757,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,8171471.8525311099,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,8171621.2075646259,0.1
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,8200598.476371808,0.1
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,8207401.9244699189,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,8227333.4838674562,0.1
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,8239896.6648105634,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,8240800.4828472314,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,8251522.3932852782,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,8255129.1882204749,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,8276218.8907842403,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,8292088.1701149279,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,8298610.9900669623,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,8309793.4089541771,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,8324211.2546454621,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,8337984.1036447641,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,8356285.9105108855,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,8367734.2847336177,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,8377990.919545345,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,8383507.0865127407,0.0
