待我来再与你重订鸳盟,0,待我来搀扶（哇）你重订鸳盟。
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,4688491.4655848835,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,4702431.2367617358,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,4708496.4890171206,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,4742608.6193268802,0.2
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4751834.7341090338,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,4768964.8430129839,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,4772853.4948875308,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,4817639.4337942265,0.2
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,4823296.1313407673,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,4857831.4965837058,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,4865195.6677642111,0.1
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,4874617.2413607668,0.2
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,4879136.8823684538,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,4883207.6121595558,0.2
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,4898042.1560233068,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,4929829.2173654577,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,4933467.057216174,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,4945412.191860145,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,4954761.151608591,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,4974772.1195693919,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,4976903.2686570175,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,4986741.7741573462,0.1
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,4987968.5293743843,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,4994316.0197077207,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,5004458.2262259815,0.1
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5019120.0345902815,0.1
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,5058698.2296563629,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,5059015.5971780866,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,5096101.5335808741,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,5103093.0595978228,0.2
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,5104380.8350226395,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,5113252.4549120031,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5120591.4657285688,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,5123143.8879352724,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,5125919.0564594921,0.2
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,5126900.1478364598,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,5142845.6067423252,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,5147919.6401788034,0.1
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,5167429.3287183382,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,5180960.2134485599,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,5220943.3241188945,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,5228982.9163268982,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,5256403.4847186441,0.1
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5264450.6431570416,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,5311410.0730312327,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,5312718.5870697256,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,5348366.4808552237,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,5354938.5885701915,0.0
