想当年桃花马上威风凛凛,0,想当年桃花马上威风凛凛，
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,6675428.9156222707,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,6683380.3294784818,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,6697463.9533716384,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,6701344.2724183695,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6711034.5974213332,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,6717980.5592519781,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,6720147.5971625168,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,6755635.3699880075,0.09090909090909091
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,6799108.5207023071,0.09090909090909091
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,6804209.8822755534,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,6829192.7602697071,0.09090909090909091
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,6845973.1992733842,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,6851286.8169280952,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,6861695.1016699821,0.09090909090909091
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,6977501.6533903461,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6977818.3825473841,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,6986231.7048908034,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,7019800.480011235,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,7037580.2245773794,0.09090909090909091
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7092777.3194438405,0.09090909090909091
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,7106073.0342255654,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,7154847.9980300544,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7161667.4630530681,0.09090909090909091
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,7187786.3831696473,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,7197856.3319535498,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,7214892.1318642916,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,7224346.9652771167,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,7233427.2154495139,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,7248069.0203553885,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,7276754.5989263579,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,7288027.7919428069,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,7311458.2391643841,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7365307.1352718677,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7370319.8429975715,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7379534.1695060218,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7396856.4205745291,0.09090909090909091
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,7398788.5950435037,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,7402784.1995541565,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7405582.1272177156,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,7426555.1398626072,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,7435766.0673887767,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,7437256.989020572,0.09090909090909091
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7442918.622695935,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,7463756.8046745807,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,7491681.7875613561,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,7503033.8427246157,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,7509681.2051230846,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,7518692.5115128187,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7525605.7167066885,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7530567.5060564289,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,7530943.4011688372,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,7552500.8033584291,0.18181818181818182
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,7560813.603756262,0.09090909090909091
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7598669.291104964,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,7600522.4329791395,0.09090909090909091
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,7618547.4193605855,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,7661959.3201924236,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,7671144.8453840688,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,7680067.0373427896,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,7686139.7642180352,0.09090909090909091
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,7687361.4961108649,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7710652.3361647809,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,7717540.6320032421,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,7722655.3942286596,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,7793557.2049294058,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,7805383.375114318,0.09090909090909091
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,7810271.7448459771,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7815689.1760342224,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,7839918.8111501951,0.09090909090909091
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,7869681.6850738637,0.0
